nozzle: 0.400000
r: 0.000000, R: 0.400000
r: 0.100000, R: 0.423607
r: 0.200000, R: 0.482843
r: 0.300000, R: 0.560555
r: 0.400000, R: 0.647214
r: 0.500000, R: 0.738516
r: 0.600000, R: 0.832456
r: 0.700000, R: 0.928011
r: 0.800000, R: 1.024621
r: 0.900000, R: 1.121954
r: 1.000000, R: 1.219804
r: 1.100000, R: 1.318034
r: 1.200000, R: 1.416553
r: 1.300000, R: 1.515295
r: 1.400000, R: 1.614214
r: 1.500000, R: 1.713275
r: 1.600000, R: 1.812452
r: 1.700000, R: 1.911724
r: 1.800000, R: 2.011077
r: 1.900000, R: 2.110497
r: 2.000000, R: 2.209975
r: 2.500000, R: 2.707987
r: 3.000000, R: 3.206659
r: 3.500000, R: 3.705710
r: 4.000000, R: 4.204997
r: 4.500000, R: 4.704442
r: 5.000000, R: 5.203998
r: 5.500000, R: 5.703635
r: 6.000000, R: 6.203332
r: 6.500000, R: 6.703076
r: 7.000000, R: 7.202857
r: 7.500000, R: 7.702666
r: 8.000000, R: 8.202500
r: 8.500000, R: 8.702353
r: 9.000000, R: 9.202222
r: 9.500000, R: 9.702105
r: 10.000000, R: 10.202000
